,target,text
0,1,随手 二十五 萬人離
1,1,数学 不好 电击 试试 哈佛大学 最新 研究成果 连续 天给 大脑 20 分钟 电击 数字 推理 运算 能力 提高 28% 研究者 所用 电流 相当于 电池 电者 疼痛 不适 希望 这项 成果 世界各地 中小型 推广 数学 不好 孩纸 天下
2,1,雅安 总人口 153 三星 苹果 富士康 三家 公司 总共 捐款 千万 平均 分给 105 万左右 物资 缺钱 地方 组织 学校 圈钱 真的 加上 加多宝 集团 一个亿 香港 一个亿 老百姓
3,0,晚上 全运会 男篮 转播 北京 逆转 浙江 北京 孙悦 核心 后卫 掌控 能力 超出 别人 孙悦 亚锦赛 场进 国内 比赛 平趟 孙悦 中国篮球 如今 水平 难过 少废话 碎觉
4,0,标准 巨蟹座 没事 抽风 伤人 后悔 纠结 大事 谨慎 小事糊涂 聪明 内敛 爱装 坚强 深沉 成熟 柔情似水 喜欢 音乐 幻想 浪漫 更重 现实 太软 志不坚 生气 恐怖 杀气
5,1,回龙观 关注 赶紧 检查一下 家里 牙膏 黑色 赶紧 扔掉 牙膏 牙膏管 反面 底部 颜色 颜色 条有 含义 尽量 选择 绿色 共分 绿色 纯天然 蓝色 天然 药物 红色 天然 化学成分 黑色 化学 罐子 牙膏 颜色 转自 遐想 叶子
6,0,晚间 分享 生活 奥秘 工作 努力 痴狂 购物 量力 攀比 娱乐 爱好 丧志 家庭 忠诚 刻板 金钱 喜爱 贪婪 享受 追逐 放纵 爱情 迷失 晚安 拜拜
7,1,张国荣 真实 死因 公布 张国荣 逝世 十周年 生前 好友 经纪人 陈淑芬 一个 保守 十年 秘密 媒体报道 张国荣 他杀 警方 香港 旺角 犯罪 嫌疑人 周峰国 抓获 香港 警方 抓捕 活动 只用 两个 小时 证据 证明 张国荣 周峰国
8,1,马航旧 广告 推特 上传 广告语 Wherever 去向 人会 公司 说到做到
9,1,活跃 千万别 菜场 买鱼 惊人 一幕 摊贩 往大 水盆 一种 白色 粉未 用手 搅拌 一会 功夫 白色 粉未 溶解 半死不活 鱼虾 倒入 没想到 鱼虾 一会儿 活蹦乱跳 仿佛 河中捕 回来 这是 一种 致癌 催化剂 俗称 浮灵 转起 身边
10,0,情報 團長 代班 主持 娛百 SHE 好友 音樂會 cr 娛樂 百分百 FACEBOOK
11,0,旅行 遇见 风景 世界 真的 很多很多 种人 五花八门 方式 生活 拥有 价值观 世界 显得 纷繁复杂 有趣 理解 共鸣 理解 话题 旅行 遇见
12,1,这是 一个 外国人 理解 国家 北京 一名 外国 大姐 一辆 驶入 非机动车 HL2021 车前 微笑 劝说 司机 回到 机动车道 司机 先是 喇叭 谩骂 推搡 老外 让开 老外 不让 司机 自行车 路边 非机动车 上扬 驶去 围观 国人 边上 不知所措 外国 大姐 ....
13,0,依然 骨子里 过分 虚荣 建立 亲密 关系
14,0,供电局 班长 因对 交警 不满 掐灭 红绿灯 17 柳州 交警 一辆 违章 货车 检查 扣证 该车 司机 男子 自称 供电局 班长 还证 回去 电停 说完 离开 12 15 交通 信号灯 真的 熄灭 交通 瘫痪 半个 小时 经查 查大 货车 城市 照明 管理处 新华网 http cn zHhPElg
15,1,重庆 银行 门前 枪击案 http cn zWl4HIu 分享
16,0,指导 临场 指挥 德帅情 何以堪 今晚 比赛 第二节 暂停 时间 湖人 落后 雷霆 安东尼 战术 布置 战术 令人吃惊 科比 一声 号令 全队 围坐在 黑曼巴 面前 结束 暂停 科比 结束 训话 面对 科比 安东尼 只能 满脸 尴尬 神情 落寞 坐在 椅子 http cn 8k6dozu
17,0,冷兔 晚安 时间 女友 回家 路上 轻轻 耳朵 待会儿 我要 尝尝 看家本领 讨厌 不来 女友 娇羞 地说 家门口 立刻 张开 双臂 门前 大声 不让 进去 两色 风景
18,0,美国会 排华 法案 道歉 18 美国众议院 全票 排华 法案 道歉 加上 去年 10 参议院 业已 全票 就此 美国 正式 立法 形式 排斥 歧视 华人 做法 道歉 1882 排华 法案 美国 历史 唯一 针对 某一 族裔 移民 排斥 法案 1943 废除 中新社 http cn zWZZHSu
19,0,希望 害怕 任何人 抢走 在乎 想要 一个 多难 始终 身边 几米 漫画
20,0,香川 真司 集锦 德甲 控球 大师 掌控 冠军 中场 http cn zOQ2mGE
21,0,高二 地理 老师上课 气压 压强 公式 哗然 公式 蔑视 一眼 公式 液体
22,1,朋友 粗心 小朋友 高考 准考证 通知 耽误 高考 大事 白娅倩 考点 一中 考场 013 11 准考证号 204101311 帮忙 转发 耽误 孩子 高考 联系电话 138 3046 8131 转发
23,1,感动 萌翻 地震 发生 一只 害怕 熊猫 死死地 抱住 警察 叔叔
24,0,陈奕迅 一首歌 先来 K歌之王 接下去
25,1,工信部 三大 网络 运营商 双重 压力 腾讯 小马哥 最终 顶住 微信 收费 收费 标准 信息 语音 百联君 做个 调查 卸载 微信 鼻屎
26,1,印度 妇女 产下 11 胞胎 世界 记录 恭喜 恭喜
27,0,红高粱 旧照 巩俐 清纯 姜文 光膀子 近日 作家 莫言 有望 诺贝尔文学奖 新闻 焦点 编剧 电影 红高粱 一张 旧照 翻出 照片 集齐 片中 主演 姜文 巩俐 导演 张艺谋 编剧 莫言 三位 男士 膀子 狂野 亮相 张艺谋 亮色 裤头 网友 大赞 时髦 详情 http cn zlpDQkw 新娱
28,0,卫士 晚安 百年 明白 今生 命运 礼物 感恩 生命 豁达 生活 期待 花开 瞬间 岁月 记得 拥有 珍惜 晚安
29,1,据说 这是 广东 经典 名菜 三叫 刚出生 老鼠 生吃 筷子 夹起来 老鼠 仔会 一声 沾酒 一声 嘴里 惨叫 一声 不想 试试 口味 大图 慎点
30,0,微博报 河南 东方 今报 中国 首位 航天员 刘洋 聘为 读者 俱乐部 终身 荣誉 会员
31,1,火车 盒饭 近日 新闻联播 cctv 记者 亲身 登上 火车 报道 火车 东西 一点 不贵 火车 盒饭 农民工 朋友 吃不饱 加饭 网友 央视 记者 火车票 别逗 新闻联播 难道 火车
32,0,小学 新浪 四川 朋友 商量 力量 有限 做好 长期抗战 心理准备 随后 四川大学 西南 建筑 设计院 免费 设计 公司 学校 包修 只管 展开 生日礼物 这辈子 收到 第二次
33,0,报告 屌丝 常用 名字 屌丝 常用 名字 尼玛 中枪 转给 中枪 童鞋
34,0,每日 邮报 透露 费迪南德 卡灵顿 训练 基地 训练课 受伤 预计 缺席 埃文斯 斯马 菲尔 琼斯 上场 曼联 维迪奇 一名 纯正 中卫 可用 每日 邮报 弗格森 卡里克 回撤 中卫 救急
35,0,镜头 悬崖峭壁 求学路 贵州 毕节 七星 关区 耿官村 半坡 小学 学生 峭壁 小路 上学 称作 40 多年 悬崖峭壁 开出 修渠 连接 耿官村 岔口 村民 组与 半坡 小学 这条 求学路 走出 一名 大学生 刮风下雨 学生 很少 迟到 缺课
36,0,未来 双子 总想 设计 完美 规划 总在 双子 执行 过程 慢慢 偏离 预先 轨道 很多 生活 双子 心中 想要 样子 人生 无须 太多 上帝 不停 前行 瞻前顾后 举棋不定 裹足不前 有时候 义无反顾
37,1,山洞 希望 小学 网友 爆料 贵州省 紫云 县中洞 希望 小学 建于 山洞 当地 条件 艰苦 很多 孩子 为省 10 住宿费 几十里 山路 上下学 奇怪 小学 照片 全球 网络 上时 愤怒 官员 关闭 学校 理由 中国 世界 经济 第二 大国 山洞 小学 中国 看起来 原始 国家 没面子
38,0,空气 太干肿 春天 空气 依旧 干燥 怪怪的 脱件 毛衣 打出 炫目 电火花 静电 更会 发型 变得 奇怪 干燥 带来 皮肤 干痒 脱屑 生活 科学 补水 保湿 妙招 统统 交代 抵御 干燥 http cn zYC1Uau
39,1,联合国 公布 全球 国民素质 排行榜 前十名 国家 微风 日本 美国 法国 荷兰 瑞士 加拿大 澳大利亚 德国 俄罗斯 10 新西兰 10 国家 微风 159 东蒂汶 160 斯里兰卡 161 墨西哥 162 朝鲜 163 乌克兰 164 泰国 165 刚果 166 阿富汗 167 中国 168 印度 备注 国民素质 118 综合 指标 考核 而來
40,0,私奔 数月 王功权 一番 折腾 过后 近日 悄然 回到 北京 老婆 复合 这场 闹剧 杀青 大结局 鸦归巢 ......
41,0,别问 朋友 美好 伤心 过往 分手 一刻 一地 拼不回 昨天 不起 友情 明天 试探 在我心中 位置 模样 不留后路 破釜沉舟 别祝 幸福 世界 资格 这句 记住 幸福 辜负 退出
42,1,天涯 三观 波士顿 马拉松 爆炸案 新闻 演员 认出来 众多 疑点 分析 http cn zTf3D7Z
43,0,晚安 Bernadette Song 小伙伴 生活 爆炸 最新 Howard 写给 Bernadette 那首 If Didn Have You 泪点 首歌 作者 正是 客串 Raj 前女友 Lucy Kate Micucci 小伙伴 才华 鼓掌 再次 欣赏 Bernadette Song http cn zR6vrLS
44,0,日本 现摸 募捐 25 日至 26 播放 节目 24 小时 TV 工口 拯救 地球 2012 名为 胸来 贡献 社会 特别 活动 东京 新宿 直播 会场 举办 截至 26 下午 活动 共有 捐款者 4690 人次 募集 善款 420 4836 日元 来场 捐款 去年 两倍 捐款 20 凤凰网 PS 典型 岛国 特色 威武
45,1,2013 日起 正式 施行 闯红灯 100 酒驾 年内 考取 驾照 不系 安全带 100 驾不系 安全带 50 行驶 途中 拨打 手机 100 行驶 途中 抽烟 100 有意 遮挡 号牌 12 顶额 处罚 超速 驾驶
46,0,人生 不如意 上帝 长假 好好 享受 假期 假期 结束 时来运转 人生 晚安 周末 愉快
47,0,社部 65 退休 媒体 误读 炒作 社部 相关 人士 几年 部里 社会保障 研究所 接到 退休 课题 社部 延迟 退休 研究 重点 置于 阶梯式 退休 65 退休年龄 说法 参与 退休年龄 研究 人社 部下 机构 否认 说法 这是 外界 误读 扬子晚报
