,target,text
0,1,人间 惨剧 今天下午 14 宁波 妇儿 医院 妇女 携带 婴儿 住院楼 跳楼 抢救无效 死亡 具体情况 部门 调查 现场 网友 妇女 小孩 病重 加上 负担 不起 昂贵 医疗费 满月 宝宝 12 跳楼 身亡 蜡烛 底层 民众 医疗 费用 猛于 国人 性命 何等 脆弱
1,1,武大 牌坊 拆掉 章立凡 袁裕来 律师 老徐 时评 徐昕 杨锦麟 左小祖咒 建嵘 袁飏
2,1,中国 美丽 乡村 江西 婺源 教师 打死 学生 昨晚 被誉为 中国 美丽 乡村 江西省 婺源县 清华 中学 发生 老师 打死 学生 校园 暴力事件 这一 骇人听闻 消息 社会 极大 震惊 本应 为人师表 教师 缘何 学生 死地 中国 教育 改革 不少 地方 ... http cn zY1QWp0
3,1,忍者 QS 江苏省 东海县 女镇 党委书记 徐艳 因不愿 县委书记 关永健 上床 竟然 警察 毒打 子宫 破裂 徐艳 一怒 揭开 贪污 大案 --- 东海县 石梁河水库 水淹 补偿款 县委书记 关永健 一个 人竟 贪污 亿多元 关永健 全县 科级 干部 调整 受贿 2000 转自人网 http cn zjKyD4R
4,1,北大 猛男 持刀 刺官 可歌可泣 同学 投案自首 冷冷 一句 后悔 不让 自力 生存 微评 读图 文字 说话
5,1,好心人 帮忙 转发 昨日 福建省 泉州市 警察局 几个 拐卖 小孩 犯罪团伙 现场 获救 一名 小孩 说不清楚 详细 地址 家里 电话 云南 昭通市 一家 团圆 一个 朋友 帮忙 这位 小男孩
6,1,鉴定 地沟油 炒菜 时放 一颗 剥皮 蒜头 蒜子 蒜子 黄曲霉素 敏感 蒜子 红色 地沟油 含有 黄曲霉素 家里 放到 冰箱 小时 白色 泡沫 地沟油 发出 爱心 转给 身边 朋友
7,1,湖南省 交通厅 副厅长 李晓希 两会 我国 刑法 贪污受贿 量刑 太轻 贪污受贿 50 万元 枪毙 有人 腐败 说完 因涉嫌 贪污受贿 亿元 省纪委 立案 调查 贪腐 50 枪毙 不知 副厅长 亿元 枪毙
8,1,历史 照进 现实
9,1,转来 阿拉伯语 翻译 翻译 叙利亚 标语 中国 道德 产品 垃圾 叙利亚 战火 弥漫 血肉横飞 该国 一名 女子 一幅 标语 中国 震惊 中国 道德 产品 垃圾 标语 国人 感到 震惊 幅照片 ... http cn zjHMWgO
10,1,转发 社会 车辆 让出 成雅 高速 留出 道路 救援队 医院 部队 车辆 黄金 72 小时 时间 生命 PS 照片 雅安 现场
11,1,七旬 老汉 为生 一个 执法 车上 一个 年轻人 老汉 连扇 几个 耳光 推倒 老汉 到处 寻找 执法者 只想 告诉 山里 骑和烂 单车 小时 只想 卖点 生病 卧床 老伴 买药 良知 帮忙 老汉 夺回 公道 会脏 微博 账号 有心 就算
12,1,家乐福 发生 突发事件 营业时间 出入口 铁门 封闭 不许 进出 原因 女士 结账 身边 孩子 失踪 幸亏 报警 家乐福 立刻 封闭 出入口 孩子 二楼 卫生间 找到 头发 剃光 衣服 换掉 人贩子 不知去向 团伙 作案 手法 年关 出入 公共场合 务必 好孩子 转发
13,1,帮忙 朋友 妈妈 公交 钱包 两张 身份证 驾驶证 三张 25 惠州 武昌 火车票 名字 陈翠珍 高艳林 张馨元 春运期间 失主 功夫 三张 卧铺票 身份证 回家 过年 转发 举手之劳 陈珉岩 13006609059
14,1,扩散 Mico 中美 混血 男孩 周岁 身高 米左右 偏瘦 寸头 离开 身穿 绿色 棉布 大衣 深蓝色 裤子 咖色 皮鞋 简单 中文 英文 16 33 双语 幼儿园 门口 育秀 路段 大润发 周边 抢走 至今 下落 妈妈 已近 崩溃 知情者 提供线索 扩散
15,1,东海舰队 徐州 护卫舰 一艘 宋级 柴电 常规 动力 潜艇 两艘 海监 钓鱼岛 海域 日本 金刚 宙斯 盾级 驱逐舰 根号 护卫舰 发生冲突 持续 45 分钟 日本 最新 宙斯 盾级 驱逐舰 当场 击中 沉没 金刚 受创 根号 护卫舰 返航 途中 沉没 日本 海上 自卫队 派出 救援 队伍 中国 海军 徐州 受创
16,1,转发 帮忙 一名 北京 三中 学生 谢露 13 消失 几天 爸爸 号码 18611098634 18210183168 爱心 接力 好友 转下 必有 转发
17,1,中国红十字会 购买 多路 一种 无耻 肆无忌惮 一种 诈骗 正大光明 一种 抢劫 毫无顾忌 一种 挥霍 明目张胆 一种 贪污 合情合理 一种 发言 掩盖真相 一种 法律 视而不见 一个 国家 慈善机构 贪婪 慈善 捐款 不放过 到底
18,1,嘻嘻
19,1,城管 赶走 路边 动物 小贩 小贩 动物 活活 踩死 小贩 收摊 城管 动物 活活 摔死 小狗 小兔子 乌龟 宠物 小兔子 踩扁 小狗 嘴里 鲜血 好多 动物 摔成 一团 就算 管理 珍惜 生命
20,1,围观 十万火急 --- 帮忙 一个 重庆 打工者 22 吴云飞 地方 速回 重庆 重庆 鱼嘴 人民 医院 家中 失火 父母双亡 妹妹 伤势 想见 舅舅 15523263869 爱心 传递 不转 对不起 良心 重庆市 綦江县 街道 百步 社区 党委 罗东 爱心 传递
21,1,美国 高二 数学 ... 请用 一句 概况 感受
22,1,10 万元 全家 移民 瑞典 新华网 欧洲 移民 推新 渠道 10 瑞典克朗 10 万元 RMB 成立 一家 公司 即可 全家 居留 许可 经营范围 员工 数量 无须 收入 证明 即可 瑞典人 享有 同等 摇篮 坟墓 福利 政策 免费 教育 免费 医疗 父母 津贴 儿童 津贴 学习 津贴 失业 救济 享有
23,1,男子 酒吧 阉割 发生 湖州 凌晨 网友 温州 酒吧 男子 生殖器 查证 核实 此事 发生 浙江 湖州 莉丽玛莲 酒吧 湖州 帅哥 酒吧 闹事 殴打 服务员 保请 里间 武力 开导 砍刀 过于 锋利 切睾 医院 三四 砍倒 口味 炼成
24,1,李盟盟 21 河南 开封县 陈留 四中 学生 高考 565 因县 招办 失职 志愿 申请 柜子 提交 大学 河南省 高招办 回应 此事 不予 李盟盟 农村 孩子 为供 上学 妹妹 辍学 打工 父亲 打工 摔断了腿 转发 也许 改变命运 试试 创造 奇迹
25,1,1988 13 四川 石棉县 发生 森林 火灾 石棉 中学 组织 学生 扑火 火势 县里 用车 学生 强制 下山 学生 周伟 三人 强行 下车 执意 火势 蔓延 周伟 王海 匆匆 逃离 学生 高度 近视 惶恐 火海 罹难 宣传部长 罹难 学生 父亲 部下 事迹 通报 中央 赖宁 故事 广为 传播
26,1,新浪 早晚 安徽 淮南 一位 三四岁 小女孩 家人 在外 逛街 转眼 半个 小时 家人 找到 女孩 内脏 送往 淮南 医院 拒绝 接收 送往 合肥 医院 死亡 不知 女孩 内脏 听到 女孩 家人 撕心裂肺 哭声
27,1,轰动 全国 安徽 YP 秦某 上海市 长宁区 地区 散落 17600 哄抢 警方 取款 银行 查实 秦某 取款 7600 谎称 17600 截至 今日 秦某 7600 返还 剩下 一万元 永远 秦某 演技 上海 市民 电视台 捐款 万余元 秦某 号称 抢钱 上海
28,1,网传 不实 旧图 火车 盒饭 坐鸟 10 火车 五元 盒饭 见所未见 闻所未闻 如今 央视 新闻联播 记者 报道 火车 东西 一点 不贵 火车 便民 盒饭 冒尖 农民工 朋友 吃不饱 加饭 一切都是
29,1,早安 11 新华字典 高中 白学 地壳 qiao 改为 地壳 ke pang 改为 fang 心宽体胖 pan 改为 心宽体胖 pang
30,1,新浪 微博 重磅 消息 内幕 爆料 新浪 微博 即将 率先 会员 开启 微博 访客 记录 功能 页面 右侧 来访 微博 记录 悄悄 关注 真的 悄悄
31,1,央视 大楼 设计者 公开 承认 色情 寓意 日本 生殖器 建筑 设计师 推荐 主楼 女性 生殖器 男性 生殖器 央视 这帮 饭桶 恍然大悟 自取其辱 日本 建筑师 评委 早就 色情 寓意 庄重 建筑 上开 玩笑 羞辱 央视 领导 回答 转载
32,1,中国红十字会 唯一 国际红十字会 会员国 山寨 国际红十字会 人事安排 管理 符合国际 规格 账目 国际红十字会 公开 多年 红十字会 接受 捐款 国家 给予 政府 津贴 机构 阮次
33,1,相声 演员 侯耀华 我发
34,1,俄媒 失联 客机 美国 印度洋 基地 迭戈 卡西亚 吃惊 俄罗斯 媒体 俄军方 透露 姓名 人仕 信息 失联 客机 美国 印度洋 基地 迭戈 卡西亚 客机 机库 机库 两年 前建 B52 大型 机体 美国 无非 勒索 中国 http cn 8s2LJo1
35,1,十万火急 ----- 群多 帮忙 一个 重庆 打工者 22 吴云飞 地方 速回 重庆 重庆 鱼嘴 人民 医院 家中 失火 父母双亡 妹妹 伤势 想见 舅舅 15523263869 爱心 接力 新中飞
36,1,微博 草根 大号 营销 账号 日常 维护 民意 粘合 粉丝 这次 315 公关 费用 何润东 3W 郑渊洁 3W 几手 4.5 记得 作业本 小鲁 事件
37,1,男童 鞋们 尽量少 饮酒 特别 高度 白酒 体内 酒精 残留 过多会 自燃 河南 一名 22 男子 女友 做爱 过程 活塞 运动 摩擦 生殖器 自燃 起火 灼伤 同居 女友 Oh 麦愛糕 小伙伴 惊呆 从此 幼小 纯洁 心灵 留下 做爱 阴影 吃惊
38,1,施主 瀑布 黄果树 还敢 最长
39,1,打针 西瓜 入夏 西瓜 首选 消暑 食品 黑心 商贩 针头 对准 尚未 成熟 西瓜 打针 西瓜 注射 禁用 食品 添加剂 甜蜜 胭脂红 打过 西瓜 瓜瓤 红色 汁液 一点 西瓜 所用 添加剂 破坏 肝脏 肾脏 功能 影响 儿童智力 发育 毒性
40,1,泰国 免签 外长 上周 会面 探讨 互免 签证 新闻 http cn zQpvDvu 中新网 泰国 中国 磋商 两国 游客 互免 旅游 签证 http cn zQNnRXP 希望 吸引 500 中国 游客 中国 影片 带动 中国 人游 泰国 泰国 国家 新闻局 发文 证实 两国 即将 放松 签证 新闻 如图
41,1,今天下午 六点 高清 探头 启动 驾驶室 不系 安全带 处罚 开车 打电话 罚款 50 黄闪罚 200 越线 停车 100 起晚 点半至 深夜 二点 为期 60 全国 交警 查处 酒驾 一经 查获 一律 拘役 六个月 五年 考证 每月 10 20 30 省厅 带队 检查 每月 13 17 23
42,1,心碎 他本 打算 终点线 求婚 推特 账户 YourGentleman 发推文 披露 男子 打算 马拉松 比赛 终点线 参加 比赛 女友 求婚 怎料 女友 爆炸案 不幸 丧生 自此 天人永隔 文中 写道 心碎 他本 打算 终点线 求婚 网站 分析 公会 伤心
43,1,三观 抓狂 独居 父亲 儿子 长得 妻子 难抑 冲动 施暴 吃惊 抓狂
44,1,对比 1996 澳大利亚 悉尼 一只 野狗 水库 大便 当地 水务局 鉴定 水质 污染 悉尼 水业 电视台 报社 打广告 告诉 自来水 污染 2013 中国 上海 几千头 黄浦江 当地 水务局 水质 ..
45,1,無名 神九 燃料 万美元 千克 共需 450 神九 油钱 630 中国 免费 教育 600 可怜 贫家 子弟
46,1,太好了 全都 死光光 日美 海上 军演 发生 直升机 相撞 自卫队 36 死亡 日本 朝日新闻 报道 17 凌晨 日美 海上 演习 两架 阿帕奇 直升机 发生 相撞 事故 日本自卫队 36 下落不明 日本 防卫 调查 事故 原因 今天下午 14 发现 33 ... http cn zjkqlU1
47,1,活跃 千万别 菜场 买鱼 惊人 一幕 摊贩 往大 水盆 一种 白色 粉未 用手 搅拌 一会 功夫 白色 粉未 溶解 半死不活 鱼虾 倒入 没想到 鱼虾 一会儿 活蹦乱跳 仿佛 河中捕 回来 这是 一种 致癌 催化剂 俗称 浮灵 智力 影响 关注 成都 美食 排行榜
48,1,小龍微 观察 揭露 围观 天朝 官员 四川 雅安 地震 湖南省 副省长 一顿 一个 接受 电视台 采访 时大谈 廉政 感想 尼玛 坐在 豪华 包厢 半盘 菜装 作秀 深感 恶心 虚伪 抓狂
49,1,感动 中国
50,1,20 年前 中国 公务员 1000 多万 20 不泄 努力 终于 精简 5700 成绩
51,1,网爆 延安 打人 城管 艳照 延安 城管 遭人肉 相册 破解 艳照 流出 霸气 侧漏 网友 戏称 白天 打人 晚上 转发
52,1,证实 保罗 图慎点
53,1,27 河南 洛阳市 女子 宋丽 太漂亮 强奸 主动 配合 强奸 导致 强奸 生殖器官 折断 失血过多 身亡 昨日 洛阳市 洛龙区 法院 审结 此案 判决 女子 过失 致死 缓刑 赔偿 被害人 江某 家属 经济损失 8.8 万元 配合 强奸 致死案 配合 法律界 http cn hH4QC
54,1,今日 爆炸性 新闻 京华 时报 头条新闻 赵本山 涉黑 巨资 扣留
55,1,12 电影院 进影院 贞子 票房 努力 中国 金陵 十三 日本 小鬼子 票房 日本 贞子 3D 12 中国 大陆 上映 12 南京大屠杀 纪念日 国难日 勿忘 国耻 中国 敢不敢 让贞子 3D 12 票房
56,1,波士顿 爆炸案 随便 美国 死伤 事实 告诉 全球 人民 一个 声光 表演 演员 舞台 中心 包围 现场 驱离 围观者 一个个 本来 残疾人 演员 轮椅 假肢 图上 鸡鸭 血后 小布什 笑话 奥巴马 下手 虽比 911 留情 却是 更假 全怪 执行 导演 找错 演员
57,1,有车 朋友 加油 加油 小动作 ...
58,1,可怕 3.15 17 食品 曝光 兰州 拉面 砂锅 加料 致癌 伊份 立顿 太子 奶粉 星巴克 冰乐 东北 饺子 老鼠 蛋黄派 榴莲 蒙牛 10 统一 奶茶 11 蛇果 上蜡 12 可乐 13 费列 巧克力 蛀虫 14 烧烤 15 人造 鸡蛋 16 绝育 黄瓜 17 果粒 服毒
59,1,朋友 北京 月星 家居 一个 钱包 有卡 数张 现金 一千二 火车票 一张 名字 刘学伟 车票 后天 失主 13895686886 北京 朋友 转发
60,1,安利 老板 身故 56 27 纽崔莱 讽刺 2013 10 16 安利 3S 系统 创始人 陈观 田因 肝癌 56 去世 27 安利 27 纽崔莱 美国 27 安利 大师 超凡 创办人 王慈官 远离 贫穷 完整 植物 药物 作者 2006 29 福州 逝世 享年 61
61,1,7.6 万箱 含氯 可口可乐 流入 市场 月初 可口可乐 山西 饮料 公司 管道 改造 致使 消毒 混入 批次 12 万箱 可口可乐 确认 76391 流入 市场 山西 质监局 调查 事件 发现 公司 维修 电脑 删除 日到 相关 生产 记录 电邮 关键 证人 安排 带薪休假 http cn zY4kOZE
62,1,马航旧 广告 推特 上传
63,1,网传 台湾 领导人 国民党员 李登辉 心脏病 去世 记得 特别 痛恨 发现 阻碍 两岸 统一 另有其 支持 统一 支持 独立 只不过 维护 台湾 利益 同意 做法 出发点 对岸 同行 优秀 太多
64,1,上海 酒吧 帅气 男子 当场 阉割 案发现场 酒吧 白色 保时捷 四人 酒吧 男子 当场 阉割 场面 极为 惨烈 壮观 鸡毁 人亡 不该 引以为戒 睡別 付出代价 http cn zHd3y2N
65,1,真相 刘翔 医院 一张 慎点 伤心 刘翔 看清楚
66,1,昨日 福建省 泉州市 警察局 几个 拐卖 小孩 犯罪团伙 现场 获救 一名 小孩 说不清楚 详细 地址 家里 电话 云南 昭通市 麻烦 转告 家人 福建省 泉州市 公安局 来接 一个 朋友 帮忙 小孩 实在 可怜 http cn zjb1oUB
67,1,网传 李天 一案 女主角 撤诉 著名 编辑 透露 李天 一案 女主角 撤销 控诉 已达 和解 意向 未满 18 醉酒 重判 可能性 极低 经李 天一 家长 奔走 最终 女孩 父母 长谈 受害人 包括 落实 北京 户口 工作 一套 住房 网友 京城 户口 用来 轮奸
68,1,榴莲 可口可乐 毒过 眼镜蛇 游客 客死 泰国 异乡 一位 中国 游客 泰国 旅游 很多 榴莲 可乐 咖啡因 中毒 血压 飙升 引发 心脏病 猝死 年仅 28 泰国 明确规定 食用 榴莲 小时 之内 可口可乐 圈里 榴莲 朋友 很多 转发 提醒 所有人
69,1,传原 海军 副司令员 王守业 手里 传原 海军 司令员 王守业 落马 导火索 一个 文艺 女兵 情妇 印证 一句 俚语 阴沟 大船 小美女 扳倒 中将 女兵 南京军区 前线 文工团 蒋雯 蒋雯 ... http cn zTVZ8bh
70,1,刘翔 手术 慎入
