,target,text
0,0,拆迁 人体模特 人大 女生 苏紫紫 故事 值得 关注 http sinaurl cn hGqp9g
1,0,人有 耐心 讲完 故事 要说 喜欢 抱怨 生活 苦痛 世人 多半 寂寞 世界 倾听 习惯 沉默 难得 几个 再也 不想 别人 提起 过往 挣扎 梦魇 寂寞 荒芜 交给 时间 慢慢 淡漠 几米 漫画
2,0,讣告 宇扬 评剧 苑讯 中国 评剧 一代宗师 洪派 小生 创始人 评剧 物质 文化遗产 传承 评剧 终身 成就奖 获得者 洪影 2012 14 晚上 30 分在 唐山 河北 联大 附属 医院 病逝 享年 83 家属 16 上午 唐山 告别仪式
3,0,父爱 奥秘 做个 称职 老爸 孩子 玩耍 研究 父亲 倾向 采用 互动 方式 孩子 长期 受益 母亲 育儿 方式 http cn a9zQHq
4,0,阿森纳 真心 牌照 屌丝 速速 退散
5,0,尚志 端午 过后 清肠 粽子 品种繁多 猪油 豆沙 粽所含 脂肪 油腻 食品 端午节 清淡 饮食 三五天 连日 超负荷 运转 胃肠道 好好 休息 多吃些 易消化 食物 青菜 水果
6,0,送给 年轻人 不求 相比 但求 超越 做过 后悔 不愿 遗憾 泪水 悔恨 昨天 汗水 拼搏 选择 所爱 选择 一秒 放弃 一秒 希望 好怕 来到 世上 打算 活着 回去
7,0,随视 传媒 COO 薛晨 Cindy Xue 新浪 微博 发表 遭易 传媒 恐吓 一文 纯属 诽谤 强烈要求 薛晨 今日 公开 道歉 相关 法律 后果自负
8,0,天天向上 门票 两张 中午 12 点半 天天向上 大众传媒 学校 1400 录制 节目 免费送 时间 加粉 免费 长沙 转发 老规矩 软件 抽取 木有 潜规则 明天 上午 10 15 公布 名单
9,0,来看 强大 中秋 福利 花心 成都 茶客 这家 成都 公司 福利 凶悍 中秋节 国庆节 员工 IPhone5 三亚 双飞 日游 现金 手表 包包 员工 不知 选择 成都 商报 牛干 泪流满面
10,0,三星 Galaxy Note2 爆炸 主人 二级 烧伤 日前 55 用户 三星 Galaxy Note 发生爆炸 致其 大腿 二级 烧伤 用户 Galaxy Note 一块 备用 电池 装在 裤兜 不知 去年 韩国 光州 一名 学生 Galaxy S2 裤兜 爆炸 受伤 转给 身边 三星 同學
